/opt/work/car/2018-car-Phuket/CarDetect_140421295_01516_crop.jpg,รถนั่งสองตอน,บรอนซ์เงิน,Ford,พื้นขาวอักษรดำ,ษย507,กรุงเทพมหานคร,,
/opt/work/car/2018-car-Phuket/CarDetect_132707572_00711_crop.jpg,รถกระบะไม่มีหลังคา,ดำ,Toyota,พื้นขาวอักษรดำ,ผค6735,นครศรีธรรมราช,,
/opt/work/car/2018-car-Phuket/CarDetect_135607932_01334_crop.jpg,รถเก๋ง,ขาว,Mazda,พื้นขาวอักษรดำ,กม4060,ภูเก็ต,,
/opt/work/car/2018-car-Phuket/CarDetect_141527567_01739_crop.jpg,รถเก๋ง,ขาว,Nissan,พื้นขาวอักษรดำ,กล7752,ภูเก็ต,,
/opt/work/car/2018-car-Phuket/CarDetect_16160171_04169_crop.jpg,รถเก๋ง,ขาว, Suzuki,พื้นขาวอักษรดำ,กท6246,กระบี่,,
/opt/work/car/2018-car-Phuket/CarDetect_135304567_01267_crop.jpg,รถเก๋ง,แดง,Mazda,พื้นขาวอักษรดำ,5กอ618,กรุงเทพมหานคร,,
/opt/work/car/2018-car-Phuket/CarDetect_164709870_04794_crop.jpg,รถกระบะไม่มีหลังคา,บรอนซ์เงิน,Isuzu,พื้นขาวอักษรเขียว,บบ1251,ภูเก็ต,,
/opt/work/car/2018-car-Phuket/CarDetect_140321703_01493_crop.jpg,รถเก๋ง,ดำ,Honda,พื้นขาวอักษรดำ,กธ5964,ภูเก็ต,,
/opt/work/car/2018-car-Phuket/CarDetect_130712985_00310_crop.jpg,รถตู้,บรอนซ์เงิน,Unknown,พื้นเหลืองอักษรดำ,301360,พังงา,,
/opt/work/car/2018-car-Phuket/CarDetect_170718721_05212_crop.jpg,รถเก๋ง,ขาว,Toyota,พื้นขาวอักษรดำ,4กค8735,กรุงเทพมหานคร,,
/opt/work/car/2018-car-Phuket/CarDetect_131702542_00497_crop.jpg,รถบรรทุก,ขาว,Hino,พื้นขาวอักษรดำ,810296,ภูเก็ต,,
/opt/work/car/2018-car-Phuket/CarDetect_125726704_00115_crop.jpg,รถเก๋ง,ดำ,Toyota,พื้นขาวอักษรดำ,กร3262,ภูเก็ต,,
/opt/work/car/2018-car-Phuket/CarDetect_145148883_02474_crop.jpg,รถกระบะมีหลังคาสูง,น้ำเงิน,Isuzu,พื้นขาวอักษรเขียว,บบ5768,ภูเก็ต,,
/opt/work/car/2018-car-Phuket/CarDetect_144737682_02388_crop.jpg,รถเก๋ง,ดำ,Mazda,พื้นแดง,ก3048,ภูเก็ต,,
/opt/work/car/2018-car-Phuket/CarDetect_162051667_04260_crop.jpg,รถบรรทุก,ขาว,Hino,พื้นเหลืองอักษรดำ,607108,กรุงเทพมหานคร,,
/opt/work/car/2018-car-Phuket/CarDetect_170935643_05253_crop.jpg,รถเก๋ง,ขาว,Toyota,พื้นขาวอักษรดำ,กว2009,ภูเก็ต,,
/opt/work/car/2018-car-Phuket/CarDetect_143850216_02235_crop.jpg,รถกระบะไม่มีหลังคา,ขาว,Toyota,พื้นขาวอักษรดำ,กอ6212,ภูเก็ต,,
/opt/work/car/2018-car-Phuket/CarDetect_155747952_03800_crop.jpg,รถตู้,ขาว,Toyota,พื้นเหลืองอักษรดำ,305969,ภูเก็ต,,
/opt/work/car/2018-car-Phuket/CarDetect_125953106_00167_crop.jpg,รถบรรทุก,ฟ้า,Isuzu,พื้นขาวอักษรดำ,800429,ภูเก็ต,,
/opt/work/car/2018-car-Phuket/CarDetect_150051500_02650_crop.jpg,รถเก๋ง,บรอนซ์เงิน,Honda,พื้นขาวอักษรดำ,5กน2783,กรุงเทพมหานคร,,
/opt/work/car/2018-car-Phuket/CarDetect_161808692_04210_crop.jpg,รถกระบะไม่มีหลังคา,ขาว,Toyota,พื้นขาวอักษรดำ,กง838,กรุงเทพมหานคร,,
